Variable,Data Type,Analysis Group / Category,Sample Size (Count),Alcohol Use Proportion (%),Statistical Method,Degrees of Freedom (df),Chi-Square Statistic (Chi2),Asymptotic P-value
Sex_Binary (Overall),Binary Categorical,Male (0),6213,45.74%,Chi-Square Test of Independence,1,1.8152,0.1779
Sex_Binary (Overall),Binary Categorical,Female (1),6402,44.53%,-,-,-,-
Age_Numeric (Age 12),Discrete Numeric,Age 12 - Total,12,83.33%,Chi-Square Test of Independence,6,202.4067,< 0.0001
Age_Numeric (Age 12),Discrete Numeric,Age 12 - Male (0),6,83.33%,-,-,-,-
Age_Numeric (Age 12),Discrete Numeric,Age 12 - Female (1),6,83.33%,-,-,-,-
Age_Numeric (Age 13),Discrete Numeric,Age 13 - Total,6,50.00%,-,-,-,-
Age_Numeric (Age 13),Discrete Numeric,Age 13 - Male (0),3,33.33%,-,-,-,-
Age_Numeric (Age 13),Discrete Numeric,Age 13 - Female (1),3,66.67%,-,-,-,-
Age_Numeric (Age 14),Discrete Numeric,Age 14 - Total,1253,32.96%,-,-,-,-
Age_Numeric (Age 14),Discrete Numeric,Age 14 - Male (0),595,27.23%,-,-,-,-
Age_Numeric (Age 14),Discrete Numeric,Age 14 - Female (1),658,38.15%,-,-,-,-
Age_Numeric (Age 15),Discrete Numeric,Age 15 - Total,2889,39.18%,-,-,-,-
Age_Numeric (Age 15),Discrete Numeric,Age 15 - Male (0),1410,37.80%,-,-,-,-
Age_Numeric (Age 15),Discrete Numeric,Age 15 - Female (1),1479,40.50%,-,-,-,-
Age_Numeric (Age 16),Discrete Numeric,Age 16 - Total,3252,45.51%,-,-,-,-
Age_Numeric (Age 16),Discrete Numeric,Age 16 - Male (0),1587,46.31%,-,-,-,-
Age_Numeric (Age 16),Discrete Numeric,Age 16 - Female (1),1665,44.74%,-,-,-,-
Age_Numeric (Age 17),Discrete Numeric,Age 17 - Total,3245,49.74%,-,-,-,-
Age_Numeric (Age 17),Discrete Numeric,Age 17 - Male (0),1582,52.72%,-,-,-,-
Age_Numeric (Age 17),Discrete Numeric,Age 17 - Female (1),1663,46.90%,-,-,-,-
Age_Numeric (Age 18),Discrete Numeric,Age 18 - Total,1958,53.17%,-,-,-,-
Age_Numeric (Age 18),Discrete Numeric,Age 18 - Male (0),1030,55.53%,-,-,-,-
Age_Numeric (Age 18),Discrete Numeric,Age 18 - Female (1),928,50.54%,-,-,-,-
